Quantity,Unit,Value,Base
Mass,kg,1,TRUE
Mass,g,1000,FALSE
Mass,Metric Ton,0.001,FALSE
Mass,lbm,2.20462,FALSE
Mass,oz,35.27392,FALSE
Length,m,1,TRUE
Length,cm,100,FALSE
Length,mm,1000,FALSE
Length,um,10000000,FALSE
Length,A,1E+11,FALSE
Length,in,39.37,FALSE
Length,ft,3.2808,FALSE
Length,yd,1.0936,FALSE
Length,mile,0.0006214,FALSE
Volume,m3,1,TRUE
Volume,L,1000,FALSE
Volume,cm3,10000000,FALSE
Volume,mL,10000000,FALSE
Volume,ft3,35.3145,FALSE
Volume,gal,264.17,FALSE
Volume,ImpGal,220.83,FALSE
Volume,qt,1056.68,FALSE
Force,N,1,TRUE
Force,dyne,1000000,FALSE
Force,gcm/s2,1000000,FALSE
Force,lbf,0.22481,FALSE
Pressure,atm,1,TRUE
Pessure,Pa,101325,FALSE
Pressure,kPa,101.325,FALSE
Pressure,bar,1.01325,FALSE
Pressure,dynes/cm2,1013250,FALSE
Pressure,torr,760,FALSE
Pressure,m_Water,10.333,FALSE
Pressure,psi,14.696,FALSE
Pressure,ft_Water,33.9,FALSE
Pressure,inHg,29.921,FALSE
Energy,J,1,TRUE
Energy,ergs,100000000,FALSE
Energy,dynecm,100000000,FALSE
Energy,kWh,2.778E-07,FALSE
Energy,cal,0.23901,FALSE
Energy,ftlbf,0.7376,FALSE
Energy,BTU,0.0009486,FALSE
Power,W,1,TRUE
Power,cal/s,0.23901,FALSE
Power,ftlbf/s,0.7376,FALSE
Power,BTU/s,0.009486,FALSE
Power,hp,0.01341,FALSE
Time,s,1,TRUE
Time,min,60,FALSE
Time,hr,3600,FALSE
Time,day,86400,FALSE
Time,week,604800,FALSE
Time,yr,31449600,FALSE
